gps_date,caudal,cwind_bat,cwind_hum,cwind_temp,cwind_dir,cwind_vel,gps_lat,gps_course,gps_lon,gps_vel,east,north,north_w,east_w,north_v,east_v,north_true,east_true,true_wind_vel
2024-01-11 18:49:37.891,0.0,89,36,25,236,6.84,-37.42165,146.5,-59.097656,1.08,-21.9837429304674,277.0970812369073,-5.670616996276486,-3.8248794597399063,0.5960919441370229,-0.9005966878325417,-5.074525052139463,-4.725476147572448,6.934041341531442
2024-01-11 18:51:17.884,0.0,90,36,26,182,12.6,-37.422781,139.8,-59.096172,0.36000000000000004,109.3749581636152,151.5717113751598,-0.4397336584515113,-12.592324420440606,0.23236476758062222,-0.2749665703084712,-0.20736889087088908,-12.867290990749078,12.868961857800086
2024-01-11 18:51:19.878,0.0,90,36,26,199,10.8,-37.422779,139.8,-59.096168,0.36000000000000004,109.72902677067833,151.7936778935231,-3.516136068137293,-10.211600616472621,0.23236476758062222,-0.2749665703084712,-3.283771300556671,-10.486567186781093,10.988687151668008
2024-01-11 18:51:21.933,0.0,90,36,26,220,9.360000000000001,-37.422769,139.8,-59.096175,1.8,109.10942630908973,152.9035418434091,-6.0164920266660085,-7.170175987593635,1.161823837903111,-1.3748328515423558,-4.854668188762897,-8.54500883913599,9.82776573204198
2024-01-11 18:51:23.814,0.0,90,36,26,219,7.5600000000000005,-37.422767,139.8,-59.096178,0.36000000000000004,108.84387989510934,153.12551647571667,-4.757662156336773,-5.875223468614699,0.23236476758062222,-0.2749665703084712,-4.52529738875615,-6.150190038923171,7.6356501996590325
2024-01-11 18:51:25.931,0.0,90,36,26,258,7.2,-37.422769,139.8,-59.096178,0.0,108.84387700016352,152.90354531139292,-7.0426627252834,-1.4969641738878705,0.0,-0.0,-7.0426627252834,-1.4969641738878705,7.200000000000001
2024-01-11 18:51:27.908,0.0,89,36,26,262,7.2,-37.422771,139.8,-59.096177,0.36000000000000004,108.93239053947228,152.6815729915269,-7.129930094939306,-1.002046326912474,0.23236476758062222,-0.2749665703084712,-6.897565327358683,-1.2770128972209451,7.014782205090143
2024-01-11 18:51:30.856,0.0,89,36,26,271,5.760000000000001,-37.422773,139.8,-59.096185,0.36000000000000004,108.22425619002507,152.4596110390528,-5.7591227241008145,0.10052586107875085,0.23236476758062222,-0.2749665703084712,-5.526757956520192,-0.17444070922972038,5.529510201726353
2024-01-11 18:51:34.867,0.0,89,36,26,243,5.4,-37.422781,139.8,-59.096186,0.36000000000000004,108.13572825363075,151.57172752393177,-4.811435230617186,-2.4515486985935535,0.23236476758062222,-0.2749665703084712,-4.5790704630365635,-2.7265152689020247,5.329331272965659
2024-01-11 18:51:36.826,0.0,89,36,25,212,5.760000000000001,-37.422782,139.8,-59.096184,0.0,108.31275965747278,151.46073964607373,-3.05233496198326,-4.884757033861015,0.0,-0.0,-3.05233496198326,-4.884757033861015,5.760000000000001
2024-01-11 18:51:39.992,0.0,89,36,25,263,6.48,-37.422782,139.8,-59.096184,0.36000000000000004,108.31275965747278,151.46073964607373,-6.431699062635768,-0.7897133452653537,0.23236476758062222,-0.2749665703084712,-6.199334295055145,-1.064679915573825,6.290094516338619
2024-01-11 18:51:40.847,0.0,89,36,25,230,6.12,-37.422787,139.8,-59.09618,1.4400000000000002,108.66681811643485,150.90580712828566,-4.688191991888145,-3.9338601712816215,0.9294590703224889,-1.0998662812338849,-3.758732921565656,-5.0337264525155065,6.282234886918495
2024-01-11 18:51:43.941,0.0,89,36,25,247,5.04,-37.422795,139.8,-59.096181,0.36000000000000004,108.57829014911813,150.01792361678545,-4.639344461400299,-1.9692848875859401,0.23236476758062222,-0.2749665703084712,-4.406979693819676,-2.2442514578944115,4.945516618918609
2024-01-11 18:51:46.860,0.0,89,36,25,277,4.32,-37.422805,139.8,-59.096177,0.36000000000000004,108.93234128584999,148.9080631704714,-4.287799375090511,0.526475563510238,0.23236476758062222,-0.2749665703084712,-4.055434607509889,0.25150899320176684,4.063226135652586
2024-01-11 18:51:48.889,0.0,90,36,26,261,4.32,-37.422809,139.8,-59.096169,0.0,109.64046660388749,148.46411156500528,-4.266813631370995,-0.6757968889737981,0.0,-0.0,-4.266813631370995,-0.6757968889737981,4.319999999999999
